Your CIA % of last semester,Your GPA of last semester,Your maximum attendance % till last semester
69,3.4,98
75,3.69,95
82,3.41,95
91,3.6,92
70,3.54,93
75,3.67,98
74,3.4,94
68,3.4,85
73,3.6,90
79,3.73,93
72,3.54,95
80,3,95
78,3.32,95
7,8,85%
70,3.49,100
60,3,85
68,3.14,88
71 %,3.4,91 %
64,3.11,100
71.78,3.49,96.54
70,3.34,95
63,3.4,90
76%,3.69,95%
83%,3.9,98%
80%,3.37,94.70%
72,3.55,93
70,3.4,96
70,3,93
71,3.33,99
77,3.3,90
80,3.79,100
80,3.12,92
80%,3.6,95%
70,3.4,94
85%,3.14,89%
71,3.4,88
68,3.4,97
67,3.46,95
72,3.4,100
65 %,3.3,89%
76,3.6,96
75.2,3.54,96
69.78,3.3,92
71.11%,3.37,93%
79.56,3.6,95
75,3.66,95
70,3.69,97
62%,3,97%
66%,2.74,90
63,3.13,94